,capacity,fuel,de02,count,efficiency
1726217,70.0,hard coal,DE01,1,0.38750000000000007
1726218,510.0,hard coal,DE01,1,0.405
1726219,,hard coal,DE01,1,
1726220,194.0,hard coal,DE01,1,0.4075
1726221,,hard coal,DE01,1,
1726222,381.8500000000001,hard coal,DE01,1,0.46000000000000013
1726223,136.0,hard coal,DE01,1,0.39749999999999996
1726224,136.0,hard coal,DE01,1,0.39749999999999996
1726225,125.0,hard coal,DE01,1,0.45
1726226,125.0,hard coal,DE01,1,0.45
1726227,778.0,hard coal,DE01,1,0.4475
1726228,449.0,hard coal,DE01,1,0.4575
1726229,690.0,hard coal,DE01,1,0.4325
1726230,794.0,hard coal,DE01,1,0.4475
1726231,66.0,hard coal,DE01,1,0.4905
1726232,13.4,hard coal,DE01,1,0.415
1726233,517.0,hard coal,DE01,1,0.4375
1726234,417.0,hard coal,DE01,1,0.4600000000000001
1726235,323.0,hard coal,DE01,1,0.405
1726236,26.0,hard coal,DE01,1,0.3175
1726237,110.0,hard coal,DE01,1,0.3525
1726238,103.0,hard coal,DE01,1,0.33
1726239,149.0,hard coal,DE01,1,0.415
1726240,324.0,hard coal,DE01,1,0.4175
1726241,735.0,hard coal,DE01,1,0.4575
1726242,255.0,hard coal,DE01,1,0.4375
1726243,425.0,hard coal,DE01,1,0.38
1726244,435.0,hard coal,DE01,1,0.4075
1726245,,hard coal,DE01,1,
1726246,120.0,hard coal,DE01,1,0.2655
1726247,55.3,hard coal,DE01,1,0.4095
1726248,60.2,hard coal,DE01,1,0.4635000000000001
1726249,54.0,hard coal,DE01,1,0.4
1726250,875.0,hard coal,DE01,1,0.3925
1726251,26.9,hard coal,DE01,1,0.4000000000000001
1726252,655.6,hard coal,DE01,1,0.365
1726253,514.0,hard coal,DE01,1,0.41
1726254,50.0,hard coal,DE01,1,0.4375
1726255,24.8,hard coal,DE01,1,0.3475
1726256,22.6,hard coal,DE01,1,0.4475
1726257,45.0,hard coal,DE01,1,0.38
1726258,45.0,hard coal,DE01,1,0.385
1726259,40.0,hard coal,DE01,1,0.4
1726260,20.7,hard coal,DE01,1,0.37
1726261,332.7,hard coal,DE01,1,0.4025
1726262,179.0,hard coal,DE01,1,0.38
1726263,211.0,hard coal,DE01,1,0.39749999999999996
1726264,96.0,hard coal,DE01,1,0.4525
1726265,148.0,hard coal,DE01,1,0.4525
1726266,123.0,hard coal,DE01,1,0.40750000000000003
1726267,137.0,hard coal,DE01,1,0.4075
1726268,310.0,hard coal,DE01,1,0.38
1726269,614.0,hard coal,DE01,1,0.385
1726270,757.0,hard coal,DE01,1,0.365
1726271,,hard coal,DE01,1,
1726272,61.5,hard coal,DE01,1,0.425
1726273,61.5,hard coal,DE01,1,0.425
1726274,138.5,hard coal,DE01,1,0.38749999999999996
1726275,138.5,hard coal,DE01,1,0.38749999999999996
1726276,85.0,hard coal,DE01,1,0.3975
1726277,472.0,hard coal,DE01,1,0.45249999999999996
1726278,,hard coal,DE01,1,
1726279,,hard coal,DE01,1,
1726280,,hard coal,DE01,1,
1726281,,hard coal,DE01,1,
1726282,,hard coal,DE01,1,
1726283,,hard coal,DE01,1,
1726284,,hard coal,DE01,1,
1726285,,hard coal,DE01,1,
1726286,,hard coal,DE01,1,
1726287,,hard coal,DE01,1,
1726288,,hard coal,DE01,1,
1726289,172.5,hard coal,DE01,1,0.3525
1726290,64.5,hard coal,DE01,1,0.3225
1726291,172.5,hard coal,DE01,1,0.35
1726292,172.5,hard coal,DE01,1,0.3525
1726293,338.0,hard coal,DE01,1,0.3725
1726294,66.5,hard coal,DE01,1,0.3325
1726295,93.0,hard coal,DE01,1,0.3525
1726296,303.0,hard coal,DE01,1,0.35
1726297,202.5,hard coal,DE01,1,0.34
1726298,202.5,hard coal,DE01,1,0.35000000000000003
1726299,35.0,hard coal,DE01,1,0.38
1726300,23.0,hard coal,DE01,1,0.37
1726301,284.0,hard coal,DE01,1,0.3475
1726302,127.0,hard coal,DE01,1,0.345
1726303,382.5,hard coal,DE01,1,0.4600000000000001
1726304,60.4,hard coal,DE01,1,0.34
1726305,280.0,hard coal,DE01,1,0.3975
1726306,695.0,hard coal,DE01,1,0.38
1726307,695.0,hard coal,DE01,1,0.3875
1726308,318.0,hard coal,DE01,1,0.3525
1726309,322.0,hard coal,DE01,1,0.3525
1726455,297.0,lignite,DE01,1,0.3232
1726456,299.0,lignite,DE01,1,0.3304
1726457,648.0,lignite,DE01,1,0.4216
1726458,628.0,lignite,DE01,1,0.41919999999999996
1726459,944.0,lignite,DE01,1,0.4048
1726460,125.0,lignite,DE01,1,0.3112
1726461,125.0,lignite,DE01,1,0.3112
1726462,295.0,lignite,DE01,1,0.316
1726463,295.0,lignite,DE01,1,0.32799999999999996
1726464,15.0,lignite,DE01,1,0.3616
1726465,10.0,lignite,DE01,1,0.38799999999999996
1726466,10.0,lignite,DE01,1,0.38799999999999996
1726467,875.0,lignite,DE01,1,0.4
1726468,875.0,lignite,DE01,1,0.3976
1726469,465.0,lignite,DE01,1,0.3832
1726470,465.0,lignite,DE01,1,0.38559999999999994
1726471,857.0,lignite,DE01,1,0.4
1726472,640.0,lignite,DE01,1,0.4288
1726473,56.8,lignite,DE01,1,0.3712
1726474,90.8,lignite,DE01,1,0.424
1726475,74.0,lignite,DE01,1,0.3976
1726476,49.0,lignite,DE01,1,0.3904
1726477,27.5,lignite,DE01,1,0.3088
1726478,9.3,lignite,DE01,1,0.3592
1726479,321.0,lignite,DE01,1,0.316
1726480,321.0,lignite,DE01,1,0.3208
1726481,663.0,lignite,DE01,1,0.3376
1726482,656.0,lignite,DE01,1,0.34
1726483,14.5,lignite,DE01,1,0.4312
1726484,45.0,lignite,DE01,1,0.3928
1726485,176.0,lignite,DE01,1,0.3712
1726486,1060.0,lignite,DE01,1,0.4288
1726487,1060.0,lignite,DE01,1,0.4288
1726488,284.0,lignite,DE01,1,0.376
1726489,278.0,lignite,DE01,1,0.376
1726490,292.0,lignite,DE01,1,0.3352
1726491,294.0,lignite,DE01,1,0.3328
1726492,294.0,lignite,DE01,1,0.3328
1726493,607.0,lignite,DE01,1,0.34
1726494,604.0,lignite,DE01,1,0.3424
1726495,352.0,lignite,DE01,1,0.364
1726496,40.0,lignite,DE01,1,0.3808
1726497,0.0,lignite,DE01,1,
1726498,98.0,lignite,DE01,1,0.37840000000000007
1726499,24.6,lignite,DE01,1,0.4096
1726500,33.5,lignite,DE01,1,0.3712
1726501,75.3,lignite,DE01,1,0.424
1726502,20.3,lignite,DE01,1,0.3832
1726503,465.0,lignite,DE01,1,0.3904
1726504,465.0,lignite,DE01,1,0.3904
1726505,465.0,lignite,DE01,1,0.3904
1726506,465.0,lignite,DE01,1,0.3904
1726507,465.0,lignite,DE01,1,0.3904
1726508,465.0,lignite,DE01,1,0.3904
1726509,450.0,lignite,DE01,1,0.3904
1726510,450.0,lignite,DE01,1,0.3904
1726511,45.0,lignite,DE01,1,0.3496
1726512,750.0,lignite,DE01,1,0.3928
1726513,750.0,lignite,DE01,1,0.3952
1726514,67.0,lignite,DE01,1,0.2464
1726515,31.0,lignite,DE01,1,0.3856
1726516,23.3,lignite,DE01,1,0.3832
1726517,19.5,lignite,DE01,1,0.3472
1726518,,lignite,DE01,1,
1726519,,lignite,DE01,1,
1726520,,lignite,DE01,1,
1726521,,lignite,DE01,1,
1726522,,lignite,DE01,1,
1726523,,lignite,DE01,1,
1726524,,lignite,DE01,1,
1726525,,lignite,DE01,1,
1726526,,lignite,DE01,1,
1726527,,lignite,DE01,1,
1726528,,lignite,DE01,1,
1726529,,lignite,DE01,1,
1726530,,lignite,DE01,1,
1726531,,lignite,DE01,1,
1726532,45.0,lignite,DE01,1,0.3832
1726533,37.5,natural gas,DE01,1,0.354
1726534,37.5,natural gas,DE01,1,0.354
1726535,37.5,natural gas,DE01,1,0.354
1726536,37.5,natural gas,DE01,1,0.354
1726537,11.0,natural gas,DE01,1,0.32670000000000005
1726538,65.0,natural gas,DE01,1,0.3722
1726539,50.0,natural gas,DE01,1,0.3046
1726540,57.0,natural gas,DE01,1,0.3098
1726541,81.0,natural gas,DE01,1,0.31499999999999995
1726542,15.1,natural gas,DE01,1,0.3773
1726543,47.0,natural gas,DE01,1,0.5985
1726544,29.0,natural gas,DE01,1,0.34759999999999996
1726545,30.7,natural gas,DE01,1,0.3904
1726546,20.4,natural gas,DE01,1,0.3586
1726547,9.7,natural gas,DE01,1,0.3784
1726548,17.8,natural gas,DE01,1,0.3993
1726549,78.0,natural gas,DE01,1,0.5984999999999999
1726550,3.0,natural gas,DE01,1,0.3795
1726551,164.0,natural gas,DE01,1,0.4037
1726552,444.0,natural gas,DE01,1,0.522
1726553,144.0,natural gas,DE01,1,0.38
1726554,144.0,natural gas,DE01,1,0.3828
1726555,144.0,natural gas,DE01,1,0.3828
1726556,66.0,natural gas,DE01,1,0.513
1726557,23.0,natural gas,DE01,1,0.3608
1726558,37.5,natural gas,DE01,1,0.5625
1726559,41.0,natural gas,DE01,1,0.3476
1726560,106.0,natural gas,DE01,1,0.54
1726561,20.7,natural gas,DE01,1,0.3894
1726562,22.0,natural gas,DE01,1,0.4004
1726563,22.1,natural gas,DE01,1,0.2882
1726564,95.0,natural gas,DE01,1,0.3993
1726565,36.0,natural gas,DE01,1,0.3817
1726566,160.0,natural gas,DE01,1,0.513
1726567,20.0,natural gas,DE01,1,0.4095
1726568,74.0,natural gas,DE01,1,0.585
1726569,25.0,natural gas,DE01,1,0.289
1726570,14.8,natural gas,DE01,1,0.5489999999999999
1726571,,natural gas,DE01,1,
1726572,11.4,natural gas,DE01,1,0.3839
1726573,13.5,natural gas,DE01,1,0.3696
1726574,120.0,natural gas,DE01,1,0.5445
1726575,50.0,natural gas,DE01,1,0.3597000000000001
1726576,62.0,natural gas,DE01,1,0.3872
1726577,0.9,natural gas,DE01,1,0.3905
1726578,10.2,natural gas,DE01,1,0.3566
1726579,57.2,natural gas,DE01,1,0.3696
1726580,94.6,natural gas,DE01,1,0.5985
1726581,10.0,natural gas,DE01,1,0.3774
1726582,6.7,natural gas,DE01,1,0.3748
1726583,6.7,natural gas,DE01,1,0.3748
1726584,585.5,natural gas,DE01,1,0.54
1726585,26.0,natural gas,DE01,1,0.3894
1726586,260.0,natural gas,DE01,1,0.5175
1726587,40.0,natural gas,DE01,1,0.3872
1726588,234.0,natural gas,DE01,1,0.5625
1726589,14.0,natural gas,DE01,1,0.39710000000000006
1726590,2.9,natural gas,DE01,1,0.34870000000000007
1726591,100.0,natural gas,DE01,1,0.54
1726592,293.0,natural gas,DE01,1,0.3586
1726593,64.7,natural gas,DE01,1,0.3124
1726594,66.7,natural gas,DE01,1,0.3124
1726595,84.0,natural gas,DE01,1,0.3278
1726596,21.1,natural gas,DE01,1,0.3982
1726597,,natural gas,DE01,1,
1726598,4.0,natural gas,DE01,1,0.3586
1726599,46.6,natural gas,DE01,1,0.3773
1726600,22.1,natural gas,DE01,1,0.3773
1726601,321.0,natural gas,DE01,1,0.3956
1726602,57.0,natural gas,DE01,1,0.39380000000000004
1726603,52.0,natural gas,DE01,1,0.3098
1726604,433.0,natural gas,DE01,1,0.3553
1726605,11.0,natural gas,DE01,1,0.3806
1726606,76.5,natural gas,DE01,1,0.54
1726607,16.3,natural gas,DE01,1,0.603
1726608,10.2,natural gas,DE01,1,0.385
1726609,21.6,natural gas,DE01,1,0.5625
1726610,3.35,natural gas,DE01,1,0.603
1726611,200.0,natural gas,DE01,1,0.3956
1726612,200.0,natural gas,DE01,1,0.3956
1726613,,natural gas,DE01,1,
1726614,70.0,natural gas,DE01,1,0.5625
1726615,99.0,natural gas,DE01,1,0.3644
1726616,13.4,natural gas,DE01,1,0.39930000000000004
1726617,60.1,natural gas,DE01,1,0.531
1726618,27.0,natural gas,DE01,1,0.3861
1726619,26.2,natural gas,DE01,1,0.374
1726620,8.0,natural gas,DE01,1,0.39819999999999994
1726621,74.0,natural gas,DE01,1,0.3806
1726622,18.8,natural gas,DE01,1,0.3828
1726623,14.7,natural gas,DE01,1,0.3696
1726624,40.0,natural gas,DE01,1,0.3894
1726625,572.0,natural gas,DE01,1,0.3597
1726626,22.0,natural gas,DE01,1,0.3784
1726627,230.0,natural gas,DE01,1,0.5579999999999999
1726628,97.0,natural gas,DE01,1,0.3905
1726629,54.0,natural gas,DE01,1,0.5985
1726630,127.0,natural gas,DE01,1,0.5805
1726631,22.5,natural gas,DE01,1,0.3762
1726632,417.1,natural gas,DE01,1,0.5760000000000001
1726633,420.9,natural gas,DE01,1,0.5760000000000001
1726634,230.0,natural gas,DE01,1,0.5985
1726635,102.0,natural gas,DE01,1,0.3575
1726636,13.5,natural gas,DE01,1,0.3872
1726637,9.45,natural gas,DE01,1,0.4004
1726638,417.0,natural gas,DE01,1,0.5715
1726639,109.5,natural gas,DE01,1,0.39150000000000007
1726640,15.8,natural gas,DE01,1,0.385
1726641,800.0,natural gas,DE01,1,0.5670000000000001
1726642,430.0,natural gas,DE01,1,0.5985
1726643,86.0,natural gas,DE01,1,0.5535
1726644,96.5,natural gas,DE01,1,0.4112
1726645,182.0,natural gas,DE01,1,0.522
1726646,11.6,natural gas,DE01,1,0.3729
1726647,11.4,natural gas,DE01,1,0.3894
1726648,353.0,natural gas,DE01,1,0.531
1726649,37.0,natural gas,DE01,1,0.3674
1726650,50.0,natural gas,DE01,1,0.3707
1726651,21.5,natural gas,DE01,1,0.3905
1726652,201.5,natural gas,DE01,1,0.45
1726653,23.4,natural gas,DE01,1,0.3784
1726654,35.0,natural gas,DE01,1,0.513
1726655,413.0,natural gas,DE01,1,0.5760000000000001
1726656,108.0,natural gas,DE01,1,0.5579999999999999
1726657,15.5,natural gas,DE01,1,0.3465
1726658,15.8,natural gas,DE01,1,0.5445
1726659,,natural gas,DE01,1,
1726660,25.8,natural gas,DE01,1,0.3905
1726661,14.0,natural gas,DE01,1,0.435
1726662,12.6,natural gas,DE01,1,0.3993
1726663,12.8,natural gas,DE01,1,0.5085
1726664,13.0,natural gas,DE01,1,0.54
1726665,10.2,natural gas,DE01,1,0.363
1726666,56.0,natural gas,DE01,1,0.3098
1726667,431.0,natural gas,DE01,1,0.3553
1726668,167.0,natural gas,DE01,1,0.585
1726669,11.3,natural gas,DE01,1,0.363
1726670,12.8,natural gas,DE01,1,0.3861
1726671,39.0,natural gas,DE01,1,0.531
1726672,35.0,natural gas,DE01,1,0.513
1726673,35.0,natural gas,DE01,1,0.513
1726674,37.0,natural gas,DE01,1,0.513
1726675,27.0,natural gas,DE01,1,0.3641
1726676,116.0,natural gas,DE01,1,0.5895
1726677,116.0,natural gas,DE01,1,0.5895
1726678,359.0,natural gas,DE01,1,0.4185
1726679,359.0,natural gas,DE01,1,0.423
1726680,887.0,natural gas,DE01,1,0.585
1726681,66.0,natural gas,DE01,1,0.3806
1726682,18.85,natural gas,DE01,1,0.40040000000000003
1726683,47.0,natural gas,DE01,1,0.3592
1726684,410.0,natural gas,DE01,1,0.5265
1726685,497.5,natural gas,DE01,1,0.5625
1726686,12.0,natural gas,DE01,1,0.3883
1726687,12.0,natural gas,DE01,1,0.5535
1726688,434.2,natural gas,DE01,1,0.5445
1726689,335.0,natural gas,DE01,1,0.43650000000000005
1726690,17.2,natural gas,DE01,1,0.5625
1726691,61.1,natural gas,DE01,1,0.5535
1726692,77.6,natural gas,DE01,1,0.5535
1726693,,natural gas,DE01,1,
1726694,42.0,natural gas,DE01,1,0.504
1726695,24.0,natural gas,DE01,1,0.3795
1726696,34.3,natural gas,DE01,1,0.3828
1726697,79.7,natural gas,DE01,1,0.45
1726698,97.9,natural gas,DE01,1,0.45
1726699,97.9,natural gas,DE01,1,0.45
1726700,124.9,natural gas,DE01,1,0.5579999999999999
1726701,123.9,natural gas,DE01,1,0.5579999999999999
1726702,127.6,natural gas,DE01,1,0.5579999999999999
1726703,11.1,natural gas,DE01,1,0.3762
1726704,7.4,natural gas,DE01,1,0.3883
1726705,,natural gas,DE01,1,
1726706,100.2,natural gas,DE01,1,0.5625
1726707,75.0,natural gas,DE01,1,0.5265
1726708,18.9,natural gas,DE01,1,0.3762
1726709,25.4,natural gas,DE01,1,0.38059999999999994
1726710,30.6,natural gas,DE01,1,0.3333
1726711,18.1,natural gas,DE01,1,0.3795
1726712,37.5,natural gas,DE01,1,0.3514
1726713,36.5,natural gas,DE01,1,0.3462
1726714,36.5,natural gas,DE01,1,0.3462
1726715,36.5,natural gas,DE01,1,0.3462
1726716,36.5,natural gas,DE01,1,0.3462
1726717,75.0,natural gas,DE01,1,0.5625
1726718,75.0,natural gas,DE01,1,0.5625
1726719,383.0,natural gas,DE01,1,0.4185
1726720,440.0,natural gas,DE01,1,0.43200000000000005
1726721,4.2,natural gas,DE01,1,0.3618
1726722,4.2,natural gas,DE01,1,0.3618
1726723,5.1,natural gas,DE01,1,0.3644
1726724,5.1,natural gas,DE01,1,0.36700000000000005
1726725,23.1,natural gas,DE01,1,0.3542
1726726,24.5,natural gas,DE01,1,0.3795
1726727,36.0,natural gas,DE01,1,0.18
1726728,64.0,natural gas,DE01,1,0.5175
1726729,30.0,natural gas,DE01,1,0.3762
1726730,5.3,natural gas,DE01,1,0.3729
1726731,5.3,natural gas,DE01,1,0.3707
1726732,41.2,natural gas,DE01,1,0.45
1726733,35.0,natural gas,DE01,1,0.3432
1726734,17.3,natural gas,DE01,1,0.3993
1726735,97.9,natural gas,DE01,1,0.585
1726736,81.8,natural gas,DE01,1,0.3806
1726737,24.0,natural gas,DE01,1,0.3861
1726738,10.5,natural gas,DE01,1,0.3971
1726739,,natural gas,DE01,1,
1726740,15.5,natural gas,DE01,1,0.38499999999999995
1726741,9.8,natural gas,DE01,1,0.4573999999999999
1726742,79.0,natural gas,DE01,1,0.315
1726743,16.0,natural gas,DE01,1,0.36299999999999993
1726744,9.8,natural gas,DE01,1,0.4573999999999999
1726745,9.2,natural gas,DE01,1,0.4602
1726746,4.3,natural gas,DE01,1,0.45879999999999993
1726747,108.0,natural gas,DE01,1,0.522
1726748,26.5,natural gas,DE01,1,0.3146
1726749,112.1,natural gas,DE01,1,0.5355
1726750,75.0,natural gas,DE01,1,0.594
1726751,38.6,natural gas,DE01,1,0.3982
1726752,64.0,natural gas,DE01,1,0.3509
1726753,,natural gas,DE01,1,
1726754,122.0,natural gas,DE01,1,0.513
1726755,44.9,natural gas,DE01,1,0.3784
1726756,23.0,natural gas,DE01,1,0.3784
1726757,95.0,natural gas,DE01,1,0.3993
1726758,7.55,natural gas,DE01,1,0.41640000000000005
1726759,86.5,natural gas,DE01,1,0.603
1726760,30.7,natural gas,DE01,1,0.41119999999999995
1726761,123.0,natural gas,DE01,1,0.522
1726762,11.4,natural gas,DE01,1,0.3839
1726763,22.0,natural gas,DE01,1,0.3784
1726764,12.2,natural gas,DE01,1,0.3718
1726765,11.3,natural gas,DE01,1,0.3509
1726766,11.6,natural gas,DE01,1,0.3498
1726767,13.5,natural gas,DE01,1,0.3795
1726768,13.4,natural gas,DE01,1,0.38499999999999995
1726769,33.6,natural gas,DE01,1,0.3465
1726770,58.1,natural gas,DE01,1,0.37289999999999995
1726771,0.5,natural gas,DE01,1,0.3498
1726772,846.0,natural gas,DE01,1,0.585
1726773,561.0,natural gas,DE01,1,0.5895
1726774,13.5,natural gas,DE01,1,0.3927
1726775,55.0,natural gas,DE01,1,0.3098
1726776,55.0,natural gas,DE01,1,0.4184999999999999
1726777,55.0,natural gas,DE01,1,0.4184999999999999
1726778,55.0,natural gas,DE01,1,0.3098
1726779,355.0,natural gas,DE01,1,0.3553
1726780,355.0,natural gas,DE01,1,0.4185
1726781,355.0,natural gas,DE01,1,0.4185
1726782,112.0,natural gas,DE01,1,0.3384
1726783,51.9,natural gas,DE01,1,0.522
1726784,25.0,natural gas,DE01,1,0.3916
1726785,13.2,natural gas,DE01,1,0.35750000000000004
1726786,13.0,natural gas,DE01,1,0.3993
1726787,40.0,natural gas,DE01,1,0.3817
1726788,,natural gas,DE01,1,
1726789,11.5,natural gas,DE01,1,0.3751
1726790,59.0,natural gas,DE01,1,0.3938
1726791,19.0,natural gas,DE01,1,0.3564
1726792,82.0,natural gas,DE01,1,0.5625
1726793,23.0,natural gas,DE01,1,0.4095
1726794,25.0,natural gas,DE01,1,0.5085
1726795,29.5,natural gas,DE01,1,0.5805
1726796,44.5,natural gas,DE01,1,0.5625
1726797,52.0,natural gas,DE01,1,0.38060000000000005
1726798,15.1,natural gas,DE01,1,0.3476
1726799,,natural gas,DE01,1,
1726800,,natural gas,DE01,1,
1726801,,natural gas,DE01,1,
1726802,,natural gas,DE01,1,
1726803,,natural gas,DE01,1,
1726804,,natural gas,DE01,1,
1726805,,natural gas,DE01,1,
1726806,,natural gas,DE01,1,
1726807,95.0,natural gas,DE01,1,0.35419999999999996
1726808,27.5,natural gas,DE01,1,0.3098
1726809,55.0,natural gas,DE01,1,0.315
1726810,65.0,natural gas,DE01,1,0.3124
1726811,335.0,natural gas,DE01,1,0.3575
1726812,80.0,natural gas,DE01,1,0.315
1726813,80.0,natural gas,DE01,1,0.315
1726814,9.0,natural gas,DE01,1,0.522
1726815,144.0,natural gas,DE01,1,0.3828
1726816,11.3,natural gas,DE01,1,0.3509
1726817,37.5,natural gas,DE01,1,0.3514
1726818,37.5,natural gas,DE01,1,0.3514
1726819,37.5,natural gas,DE01,1,0.3514
1726820,155.0,natural gas,DE01,1,0.3542
1726821,56.0,natural gas,DE01,1,0.4185
1726822,1410.0,nuclear,DE01,1,0.32999999999999996
1726823,1360.0,nuclear,DE01,1,0.33
1726824,1410.0,nuclear,DE01,1,0.32999999999999996
1726825,1288.0,nuclear,DE01,1,0.33
1726826,1336.0,nuclear,DE01,1,0.33
1726827,1310.0,nuclear,DE01,1,0.33
1726828,1402.0,nuclear,DE01,1,0.33
1726829,1275.0,nuclear,DE01,1,0.33
1726830,1284.0,nuclear,DE01,1,0.33
1726831,2.8,oil,DE01,1,0.3784
1726832,0.5,oil,DE01,1,0.3751
1726833,0.8,oil,DE01,1,0.3795
1726834,276.0,oil,DE01,1,0.3597
1726835,51.0,oil,DE01,1,0.3046
1726836,86.0,oil,DE01,1,0.3124
1726837,86.2,oil,DE01,1,0.3202
1726838,24.8,oil,DE01,1,0.3971
