,capacity,fuel,de02,count,efficiency
1726839,17.0,oil,DE01,1,0.3795
1726840,120.0,oil,DE01,1,0.3644
1726841,386.0,oil,DE01,1,0.3553
1726842,386.0,oil,DE01,1,0.3564
1726843,38.0,oil,DE01,1,0.3773
1726844,23.2,oil,DE01,1,0.3332
1726845,23.2,oil,DE01,1,0.3332
1726846,23.2,oil,DE01,1,0.3332
1726847,23.2,oil,DE01,1,0.3332
1726848,44.5,oil,DE01,1,0.34320000000000006
1726849,4.8,oil,DE01,1,0.3817
1726850,45.0,oil,DE01,1,0.3795
1726851,25.0,oil,DE01,1,0.37949999999999995
1726852,80.0,oil,DE01,1,0.38
1726853,92.5,oil,DE01,1,0.38
1726854,77.4,oil,DE01,1,0.3046
1726855,85.0,oil,DE01,1,0.38
1726856,263.5,oil,DE01,1,0.38
1726857,11.4,oil,DE01,1,0.3718
1726858,88.0,oil,DE01,1,0.3542
1726859,87.0,oil,DE01,1,0.3553
1726860,28.0,oil,DE01,1,0.3542
1726861,34.5,oil,DE01,1,0.3784
1726862,106.0,oil,DE01,1,0.38170000000000004
1726863,106.0,oil,DE01,1,0.3828
1726864,59.0,oil,DE01,1,0.3971
1726865,11.4,oil,DE01,1,0.3663
1726866,23.3,oil,DE01,1,0.3124
1726867,23.3,oil,DE01,1,0.3124
1726868,23.3,oil,DE01,1,0.3124
1726869,415.0,oil,DE01,1,0.3564
1726870,136.0,oil,DE01,1,0.3306
1726871,24.0,oil,DE01,1,0.3488
1726872,10.5,oil,DE01,1,0.3608
1726873,50.5,oil,DE01,1,0.3072
1726874,50.5,oil,DE01,1,0.3072
1726875,206.0,oil,DE01,1,0.38000000000000006
1726876,66.3,oil,DE01,1,0.38
1726877,56.0,oil,DE01,1,0.3098
1726878,60.0,oil,DE01,1,0.38
1726879,23.3,oil,DE01,1,0.3773
1726880,46.0,oil,DE01,1,0.3176
1726881,,oil,DE01,1,
1726882,9.5,oil,DE01,1,0.3608
1726883,63.5,oil,DE01,1,0.3098
1726884,63.5,oil,DE01,1,0.3098
1726885,63.5,oil,DE01,1,0.3098
1726886,,other fossil fuels,DE01,1,
1726887,160.0,other fossil fuels,DE01,1,0.41697726595385703
1726888,85.0,other fossil fuels,DE01,1,0.41697726595385703
1726889,21.0,other fossil fuels,DE01,1,0.41697726595385703
1726890,60.0,other fossil fuels,DE01,1,0.416977265953857
1726891,95.0,other fossil fuels,DE01,1,0.41697726595385703
1726892,170.0,other fossil fuels,DE01,1,0.41697726595385703
1726893,303.0,other fossil fuels,DE01,1,0.41697726595385703
1726894,303.0,other fossil fuels,DE01,1,0.41697726595385703
1726895,,other fossil fuels,DE01,1,
1726896,23.5,other fossil fuels,DE01,1,0.41697726595385703
1726897,45.0,other fossil fuels,DE01,1,0.41697726595385703
1726898,56.0,other fossil fuels,DE01,1,0.41697726595385703
1726899,59.0,other fossil fuels,DE01,1,0.41697726595385703
1726900,101.0,other fossil fuels,DE01,1,0.41697726595385703
1726901,225.0,other fossil fuels,DE01,1,0.4169772659538571
1726902,,other fossil fuels,DE01,1,
1726903,15.5,other fossil fuels,DE01,1,0.41697726595385703
1726904,19.2,other fossil fuels,DE01,1,0.4169772659538571
1726905,15.5,other fossil fuels,DE01,1,0.41697726595385703
1726906,10.4,other fossil fuels,DE01,1,0.41697726595385703
1726907,33.6,other fossil fuels,DE01,1,0.416977265953857
1726908,8.7,other fossil fuels,DE01,1,0.4169772659538571
1726909,14.0,other fossil fuels,DE01,1,0.41697726595385703
1726910,20.0,other fossil fuels,DE01,1,0.41697726595385703
1726911,85.0,other fossil fuels,DE01,1,0.41697726595385703
1726912,,other fossil fuels,DE01,1,
1726913,26.8,other fossil fuels,DE01,1,0.41697726595385703
1726914,40.0,other fossil fuels,DE01,1,0.41697726595385703
1726915,,other fossil fuels,DE01,1,
1726916,94.5,other fossil fuels,DE01,1,0.41697726595385703
1726917,97.0,other fossil fuels,DE01,1,0.41697726595385703
1726918,97.0,other fossil fuels,DE01,1,0.41697726595385703
1726919,6.0,other fossil fuels,DE01,1,0.41697726595385703
1726920,2.5,other fossil fuels,DE01,1,0.4169772659538571
1726921,,other fossil fuels,DE01,1,
1726922,28.0,other fossil fuels,DE01,1,0.41697726595385703
1726923,,other fossil fuels,DE01,1,
1726924,19.7,other fossil fuels,DE01,1,0.41697726595385703
1726925,12.5,waste,DE01,1,0.33
1726926,10.0,waste,DE01,1,0.33
1726927,36.0,waste,DE01,1,0.33
1726928,35.0,waste,DE01,1,0.33
1726929,34.0,waste,DE01,1,0.33
1726930,9.9,waste,DE01,1,0.33
1726931,9.5,waste,DE01,1,0.33
1726932,12.0,waste,DE01,1,0.33
1726933,33.0,waste,DE01,1,0.33
1726934,44.0,waste,DE01,1,0.33000000000000007
1726935,14.0,waste,DE01,1,0.33
1726936,12.5,waste,DE01,1,0.33
1726937,48.9,waste,DE01,1,0.33
1726938,53.7,waste,DE01,1,0.33
1726939,13.6,waste,DE01,1,0.33
1726940,38.0,waste,DE01,1,0.33
1726941,26.0,waste,DE01,1,0.33
1726942,46.5,waste,DE01,1,0.33
1726943,17.0,waste,DE01,1,0.33
1726944,11.0,waste,DE01,1,0.33000000000000007
1726945,23.3,waste,DE01,1,0.33
1726946,24.0,waste,DE01,1,0.33
1726947,14.7,waste,DE01,1,0.33
1726948,14.6,waste,DE01,1,0.33
1726949,22.5,waste,DE01,1,0.33000000000000007
1726950,37.5,waste,DE01,1,0.33
1726951,12.5,waste,DE01,1,0.33
1726952,17.1,waste,DE01,1,0.33
1726953,33.4,waste,DE01,1,0.33
1726954,25.5,waste,DE01,1,0.33
1726955,12.6,waste,DE01,1,0.33
1726956,16.0,waste,DE01,1,0.33
1726957,14.7,waste,DE01,1,0.33
1726958,45.1,waste,DE01,1,0.33
1726959,13.5,waste,DE01,1,0.33
1726960,13.8,waste,DE01,1,0.33
1726961,1.5,waste,DE01,1,0.33
1726962,2.8,waste,DE01,1,0.33
1726963,1.5,waste,DE01,1,0.33
1726964,15.7,waste,DE01,1,0.33
1726965,16.3,waste,DE01,1,0.33
1726966,16.3,waste,DE01,1,0.33
1726967,12.0,waste,DE01,1,0.33
1726968,28.0,waste,DE01,1,0.33
1726969,25.4,waste,DE01,1,0.32999999999999996
1726970,29.2,waste,DE01,1,0.33
1726971,29.2,waste,DE01,1,0.33
1726972,15.6,waste,DE01,1,0.33
1726973,8.7,waste,DE01,1,0.33
1726974,22.1,waste,DE01,1,0.33
1726975,8.1,waste,DE01,1,0.33
1726976,5.8,waste,DE01,1,0.33
1726977,11.6,waste,DE01,1,0.33
1726978,18.0,waste,DE01,1,0.33
1726979,40.4,waste,DE01,1,0.33
1726980,21.1,waste,DE01,1,0.33
1726981,14.5,waste,DE01,1,0.33
1726982,15.0,waste,DE01,1,0.33
1726983,2.5,waste,DE01,1,0.33
1726984,14.5,waste,DE01,1,0.33
1726985,9.0,waste,DE01,1,0.33
1726986,17.0,waste,DE01,1,0.33
1726987,30.0,waste,DE01,1,0.33
1726988,16.0,waste,DE01,1,0.33
1726989,54.0,waste,DE01,1,0.33
1726990,28.9,waste,DE01,1,0.33
1726991,24.4,waste,DE01,1,0.33
1726992,18.7,waste,DE01,1,0.33
1726993,24.0,waste,DE01,1,0.33
1726994,19.5,waste,DE01,1,0.33
1726995,18.0,waste,DE01,1,0.33
1726996,22.0,waste,DE01,1,0.33000000000000007
1726997,27.0,waste,DE01,1,0.33
1726998,5.25,waste,DE01,1,0.33
1726999,30.0,waste,DE01,1,0.33
1727000,8.7,waste,DE01,1,0.33
1727001,12.0,waste,DE01,1,0.33
1727002,12.1,waste,DE01,1,0.33
1727003,,waste,DE01,1,
1727004,,waste,DE01,1,
1727005,,waste,DE01,1,
1727006,33.4,other fossil fuels,DE01,1,0.33
1727007,42.0,other fossil fuels,DE01,1,0.44619999999999993
